,round,reward,ticks
0,0,15.0,150
1,1,21.0,184
2,2,16.0,150
3,3,7.0,134
4,4,11.0,134
5,5,6.0,143
6,6,15.0,174
7,7,13.0,134
8,8,2.0,118
9,9,11.0,150
10,10,6.0,127
11,11,4.0,118
12,12,6.0,118
13,13,6.0,118
14,14,20.0,172
15,15,14.0,149
16,16,7.0,142
17,17,5.0,158
18,18,4.0,133
19,19,10.0,146
20,20,13.0,169
21,21,19.0,172
22,22,19.0,235
23,23,12.0,136
24,24,23.0,206
25,25,33.0,335
26,26,6.0,118
27,27,13.0,159
28,28,19.0,225
29,29,4.0,118
30,30,13.0,139
31,31,15.0,150
32,32,45.0,1999
33,33,3.0,142
34,34,11.0,141
35,35,23.0,246
36,36,2.0,118
37,37,7.0,133
38,38,8.0,142
39,39,17.0,141
40,40,10.0,142
41,41,4.0,121
42,42,3.0,134
43,43,7.0,124
44,44,5.0,118
45,45,6.0,118
46,46,13.0,143
47,47,5.0,127
48,48,6.0,127
49,49,8.0,143
50,50,0.0,118
51,51,4.0,127
52,52,16.0,191
53,53,4.0,127
54,54,12.0,172
55,55,16.0,166
56,56,12.0,125
57,57,2.0,127
58,58,9.0,149
59,59,11.0,156
60,60,5.0,134
61,61,8.0,134
62,62,10.0,134
63,63,4.0,118
64,64,3.0,133
65,65,15.0,150
66,66,7.0,145
67,67,5.0,149
68,68,10.0,159
69,69,5.0,121
70,70,9.0,118
71,71,9.0,133
72,72,11.0,118
73,73,3.0,118
74,74,6.0,118
75,75,8.0,141
76,76,7.0,124
77,77,11.0,134
78,78,13.0,150
79,79,3.0,130
80,80,9.0,155
81,81,5.0,124
82,82,7.0,118
83,83,4.0,142
84,84,9.0,142
85,85,12.0,125
86,86,11.0,142
87,87,4.0,133
88,88,13.0,158
89,89,7.0,118
90,90,14.0,145
91,91,13.0,121
92,92,12.0,143
93,93,6.0,137
94,94,12.0,161
95,95,3.0,134
96,96,4.0,118
97,97,11.0,137
98,98,4.0,118
99,99,8.0,134
100,100,13.0,135
101,101,13.0,134
102,102,10.0,121
103,103,11.0,137
104,104,1.0,121
105,105,6.0,134
106,106,2.0,124
107,107,11.0,145
108,108,9.0,134
109,109,17.0,143
110,110,9.0,124
111,111,2.0,118
112,112,3.0,118
113,113,8.0,120
114,114,6.0,124
115,115,7.0,118
116,116,32.0,262
117,117,16.0,179
118,118,9.0,134
119,119,10.0,203
120,120,2.0,142
121,121,9.0,146
122,122,2.0,130
123,123,12.0,166
124,124,10.0,121
125,125,5.0,125
126,126,4.0,121
127,127,12.0,157
128,128,15.0,134
129,129,7.0,118
130,130,10.0,124
131,131,9.0,127
132,132,16.0,161
133,133,8.0,136
134,134,1.0,142
135,135,2.0,124
136,136,7.0,158
137,137,21.0,177
138,138,26.0,261
139,139,7.0,133
140,140,7.0,127
141,141,6.0,124
142,142,9.0,127
143,143,5.0,133
144,144,5.0,118
145,145,9.0,146
146,146,15.0,176
147,147,10.0,136
148,148,8.0,137
149,149,5.0,133
150,150,6.0,133
151,151,18.0,174
152,152,11.0,158
153,153,9.0,142
154,154,21.0,246
155,155,12.0,124
156,156,10.0,149
157,157,8.0,140
158,158,14.0,150
159,159,22.0,257
160,160,11.0,152
161,161,9.0,177
162,162,7.0,136
163,163,4.0,144
164,164,6.0,121
165,165,4.0,80
166,166,12.0,193
167,167,13.0,190
168,168,21.0,233
169,169,15.0,142
170,170,10.0,133
171,171,15.0,140
172,172,8.0,142
173,173,22.0,218
174,174,47.0,366
175,175,13.0,136
176,176,13.0,140
177,177,13.0,159
178,178,14.0,145
179,179,12.0,140
180,180,34.0,318
181,181,9.0,145
182,182,15.0,158
183,183,38.0,383
184,184,2.0,89
185,185,14.0,177
186,186,3.0,145
187,187,15.0,174
188,188,15.0,187
189,189,1.0,141
190,190,20.0,209
191,191,13.0,145
192,192,9.0,133
193,193,3.0,139
194,194,10.0,138
195,195,27.0,302
196,196,9.0,168
197,197,10.0,140
198,198,14.0,161
199,199,6.0,158
